"","unique.cellid","CGP.cellid","CCLE.cellid","GSK.cellid","NCI60.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","gCSI.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","NCI60.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Ben_Neel.tissueid","COSMIC.tissueid","unique.tissueid","CTRPv2.tissueid","gCSI.tissueid"
"223","GI-1","GI-1","GI-1","","","","","","GI-1","GI-1","","","GI1","GI-1","central_nervous_system","central_nervous_system","","","","","","CNS","central_nervous_system","","","central_nervous_system","central_nervous_system","central_nervous_system","Brain"
"224","GI-ME-N","GI-ME-N","","","","","","","GI-ME-N","","GI-ME-N","",NA,NA,"autonomic_ganglia","","","","","","","PNS","","nervous_system ","","autonomic_ganglia","autonomic_ganglia",NA,NA
"225","GMS-10","GMS-10","GMS-10","","","","","","GMS-10","GMS-10","GMS-10","","GMS10",NA,"central_nervous_system","central_nervous_system","","","","","","Brain","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system","central_nervous_system",NA
"226","GOTO","GOTO","","","","","","","GOTO","","GOTO","",NA,NA,"autonomic_ganglia","","","","","","","Kidney","","nervous_system ","","autonomic_ganglia","autonomic_ganglia",NA,NA
"227","GOTO-P3","GOTO-P3","","","","","","","","","","",NA,NA,"autonomic_ganglia","","","","","","","","","","","autonomic_ganglia","autonomic_ganglia",NA,NA
"228","Gp2D","Gp2D","GP2d","","","","GP2d","GP2D","","GP2d","","","GP2D",NA,"large_intestine","large_intestine","","","","Colon","LARGE_INTESTINE","","large_intestine","","","large_intestine","large_intestine","large_intestine",NA
"229","GP5d","GP5d","","","","","GP5d","","GP5d","","","",NA,"GP5d","large_intestine","","","","","Colon","","Intestine","","","","large_intestine","large_intestine",NA,"Colon"
"230","GR-ST","GR-ST","","","","","","","GR-ST","","GR-ST","",NA,NA,"haematopoietic_and_lymphoid_tissue","","","","","","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"231","GT3TKB","GT3TKB","","","","","","","GT3TKB","","GT3TKB","",NA,NA,"stomach","","","","","","","Stomach","","digestive_system ","","stomach","stomach",NA,NA
"232","H4","H4","H4","H4","","","","","H4","H4","H4","",NA,NA,"central_nervous_system","central_nervous_system","central_nervous_system","","","","","Brain","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system",NA,NA
"233","H9","H9","","","","","","","H9","","","",NA,NA,"haematopoietic_and_lymphoid_tissue","","","","","","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"234","HA7-RCC","HA7-RCC","","","","","","","HA7-RCC","","HA7-RCC","",NA,NA,"kidney","","","","","","","Kidney","","","","kidney","kidney",NA,NA
"235","HAL-01","HAL-01","","","","","","","HAL-01","","","",NA,NA,"haematopoietic_and_lymphoid_tissue","","","","","","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"236","HC-1","HC-1","","","","","","","HC-1","","","",NA,NA,"haematopoietic_and_lymphoid_tissue","","","","","","","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"237","HCC1143","HCC1143","HCC1143","HCC1143","","HCC1143","HCC1143","","HCC1143","HCC1143","HCC1143","hcc1143","HCC1143","HCC1143","breast","breast","breast","","breast","Breast","","breast","breast","breast ","breast","breast","breast","breast","Breast"
"238","HCC1187","HCC1187","HCC1187","","","HCC1187","HCC1187","","HCC1187","HCC1187","","hcc1187",NA,"HCC1187","breast","breast","","","breast","Breast","","Breast","breast","","breast","breast","breast",NA,"Breast"
"239","HCC1395","HCC1395","HCC1395","HCC1395","","HCC1395","HCC1395","","HCC1395","HCC1395","HCC1395","hcc1395","HCC1395",NA,"breast","breast","breast","","breast","Breast","","0","breast","breast ","breast","breast","breast","breast",NA
"240","HCC1419","HCC1419","HCC1419","","","HCC1419","HCC1419","","HCC1419","HCC1419","HCC1419","hcc1419","HCC1419","HCC1419","breast","breast","","","breast","Breast","","Breast","breast","breast ","breast","breast","breast","breast","Breast"
"241","HCC1569","HCC1569","HCC1569","","","HCC1569","HCC1569","","HCC1569","HCC1569","HCC1569","hcc1569","HCC1569",NA,"breast","breast","","","breast","Breast","","Breast","breast","breast ","breast","breast","breast","breast",NA
"242","HCC1599","HCC1599","HCC1599","HCC1599","","HCC1599","HCC1599","","HCC1599","HCC1599","","hcc1599",NA,NA,"breast","breast","breast","","breast","Breast","","breast","breast","","breast","breast","breast",NA,NA
"243","HCC1806","HCC1806","HCC1806","","","HCC1806","HCC1806","","HCC1806","HCC1806","HCC1806","hcc1806","HCC1806","HCC1806","breast","breast","","","breast","Breast","","Breast","breast","breast ","breast","breast","breast","breast","Breast"
"244","HCC1937","HCC1937","HCC1937","HCC1937","","HCC1937","HCC1937","","HCC1937","HCC1937","HCC1937","hcc1937","HCC1937","HCC1937","breast","breast","breast","","breast","Breast","","Breast","breast","breast ","breast","breast","breast","breast","Breast"
"245","HCC1954","HCC1954","HCC1954","HCC1954","","HCC1954","HCC1954","","HCC1954","HCC1954","HCC1954","hcc1954","HCC1954","HCC1954","breast","breast","breast","","breast","Breast","","Breast","breast","breast ","breast","breast","breast","breast","Breast"
"246","HCC2157","HCC2157","HCC2157","HCC2157","","","HCC2157","","HCC2157","HCC2157","HCC2157","",NA,NA,"breast","breast","breast","","","Breast","","Breast","breast","breast ","","breast","breast",NA,NA
"247","HCC2218","HCC2218","HCC2218","HCC2218","","HCC2218","HCC2218","","HCC2218","HCC2218","HCC2218","hcc2218","HCC2218","HCC2218","breast","breast","breast","","breast","Breast","","Breast","breast","breast ","breast","breast","breast","breast","Breast"
"248","HCC2998","HCC2998","","HCC2998","CO:HCC_2998","","","","HCC2998","","HCC2998","",NA,NA,"large_intestine","","colon","CO","","","","Intestine","","digestive_system ","","large_intestine","large_intestine",NA,NA
"249","HCC38","HCC38","HCC38","HCC38","","HCC38","HCC38","","HCC38","HCC38","","hcc38","HCC38","HCC38","breast","breast","breast","","breast","Breast","","breast","breast","","breast","breast","breast","breast","Breast"
"250","HCC70","HCC70","HCC70","HCC70","","HCC70","HCC70","","HCC70","HCC70","HCC70","hcc70",NA,NA,"breast","breast","breast","","breast","Breast","","Breast","breast","breast ","breast","breast","breast",NA,NA
"251","HCE-4","HCE-4","","","","","","","HCE-4","","HCE-4","",NA,NA,"oesophagus","","","","","","","Esophagus","","aero_digestive_tract ","","oesophagus","oesophagus",NA,NA
"252","HCE-T","HCE-T","","","","","","","HCE-T","","","",NA,NA,"upper_aerodigestive_tract","","","","","","","Sinus","","","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA,NA
"253","HCT-116","HCT-116","HCT 116","HCT116","CO:HCT_116","","HCT 116","HCT116","HCT-116","HCT_116","HCT-116","","HCT116","HCT 116","large_intestine","large_intestine","colon","CO","","Colon","LARGE_INTESTINE","Intestin","large_intestine","digestive_system ","","large_intestine","large_intestine","large_intestine","Colon"
"254","HCT-15","HCT-15","HCT-15","HCT15","CO:HCT_15","","HCT-15","","HCT-15","HCT-15","HCT-15","","HCT15","HCT-15","large_intestine","large_intestine","colon","CO","","Colon","","Intestine","large_intestine","digestive_system ","","large_intestine","large_intestine","large_intestine","Colon"
"255","HDLM-2","HDLM-2","HDLM-2","","","","","","HDLM-2","","HDLM-2","","HDLM2",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"256","HD-MY-Z","HD-MY-Z","HD-MY-Z","HDMYZ","","","","","HD-MY-Z","HD-MY-Z","HD-MY-Z","","HDMYZ",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"257","HEC-1","HEC-1","HEC-1-B","","","","","","HEC-1","HEC-1-B","HEC-1","",NA,"HEC-1-B","endometrium","endometrium","","","","","","Uterus","endometrium","urogenital_system ","","endometrium","endometrium",NA,"Uterus"
"258","HEL","HEL","HEL","","","","HEL","","HEL","HEL","HEL","","HEL","HEL","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","Blood","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","Blood"
"259","HeLaSF","HeLaSF","","","","","","","HeLaSF","","","",NA,NA,"cervix","","","","","","","Cervix","","","","cervix","cervix",NA,NA
"260","H-EMC-SS","H-EMC-SS","","","","","","","H-EMC-SS","","H-EMC-SS","",NA,NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA,NA
"261","HGC-27","HGC-27","HGC-27","","","","HGC-27","","HGC-27","HGC-27","HGC-27","","HGC27","HGC-27","stomach","stomach","","","","Stomach","","Stomach","stomach","digestive_system ","","stomach","stomach","stomach","Stomach"
"262","HH","HH","HH","HH","","","","","HH","HH","HH","","HH",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"263","HL-60","HL-60","HL-60","HL60","LE:HL_60","","HL-60","","HL-60","HL-60","HL-60","","HL60",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","LE","","Blood","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"264","HLE","HLE","HLE","","","","","","HLE","","HLE","",NA,NA,"liver","liver","","","","","","Liver","","digestive_system ","","liver","liver",NA,NA
"265","HMV-II","HMV-II","","","","","","","HMV-II","","HMV-II","",NA,"HMVII","skin","","","","","","","Skin","","skin ","","skin","skin",NA,"Skin"
"266","HN","HN","HN","","","","HN","","HN","","HN","",NA,"HN","upper_aerodigestive_tract","upper_aerodigestive_tract","","","","Oral Cavity","","Head & Neck","","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA,"Head and Neck"
"267","HO-1-N-1","HO-1-N-1","","","","","","","HO-1-N-1","","HO-1-N-1","",NA,NA,"upper_aerodigestive_tract","","","","","","","Head & Neck","","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract",NA,NA
"268","HOP-62","HOP-62","","HOP62","LC:HOP_62","","HOP-62","","HOP-62","HOP-62","HOP-62","","HOP62","HOP-62","lung","","lung","LC","","Lung","","Lung","lung","lung ","","lung","lung","","Lung"
"269","HOP-92","HOP-92","","HOP92","LC:HOP_92","","HOP-92","","HOP-92","HOP-92","HOP-92","","HOP92","HOP-92","lung","","lung","LC","","Lung","","Lung:NSCLC","lung","lung ","","lung","lung","","Lung"
"270","HOS","HOS","HOS","HOS","","","","","HOS","HOS","HOS","","HOS",NA,"bone","bone","sarcoma","","","","","Bone","bone","bone ","","bone","bone","bone",NA
"271","HPAF-II","HPAF-II","HPAF-II","HPAFII","","","HPAF-II","","HPAF-II","HPAF-II","HPAF-II","","HPAFII","HPAF-II","pancreas","pancreas","pancreas","","","Pancreas","","Pancreas","pancreas","pancreas ","","pancreas","pancreas","pancreas","Pancreas"
"272","Hs-578-T","Hs-578-T","Hs 578T","","BR:HS578T","HS578T","Hs 578T","","Hs-578-T","Hs_578T","Hs-578-T","hs578t","HS578T","Hs 578T","breast","breast","","BR","breast","Breast","","breast","breast","breast ","breast","breast","breast","breast","Breast"
"273","HSC-2","HSC-2","HSC-2","","","","","HSC2","HSC-2","HSC-2","HSC-2","","HSC2",NA,"upper_aerodigestive_tract","upper_aerodigestive_tract","","","","","UPPER_AERODIGESTIVE_TRACT","upper_aerodigestive_tract","upper_aerodigestive_tract","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"274","HSC-3","HSC-3","HSC-3","","","","","","HSC-3","HSC-3","HSC-3","","HSC3",NA,"upper_aerodigestive_tract","upper_aerodigestive_tract","","","","","","Head & Neck","upper_aerodigestive_tract","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"275","HSC-4","HSC-4","HSC-4","","","","","","HSC-4","HSC-4","HSC-4","","HSC4",NA,"upper_aerodigestive_tract","upper_aerodigestive_tract","","","","","","Head & Neck","upper_aerodigestive_tract","aero_digestive_tract ","","upper_aerodigestive_tract","upper_aerodigestive_tract","upper_aerodigestive_tract",NA
"276","HT","HT","HT","HT","","","HT","HT","","HT","HT","","HT","HT","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","Lymph Node","HEMATOPOIETIC_AND_LYMPHOID_TISSUE","","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","Lymphoid"
"277","HT-1080","HT-1080","HT-1080","HT1080","","","HT-1080","HT1080","HT-1080","HT-1080","","","HT1080","HT-1080","soft_tissue","soft_tissue","connective_tissue","","","Lung","SOFT_TISSUE","Miscellaneous","soft_tissue","","","soft_tissue","soft_tissue","soft_tissue","Bone"
"278","HT-1197","HT-1197","HT-1197","HT1197","","","","","HT-1197","HT-1197","HT-1197","","HT1197",NA,"urinary_tract","urinary_tract","bladder","","","","","Bladder","urinary_tract","urogenital_system ","","urinary_tract","urinary_tract","urinary_tract",NA
"279","HT-1376","HT-1376","HT-1376","HT1376","","","","HT1376","HT-1376","HT-1376","HT-1376","","HT1376",NA,"urinary_tract","urinary_tract","bladder","","","","URINARY_TRACT","Bladder","urinary_tract","urogenital_system ","","urinary_tract","urinary_tract","urinary_tract",NA
"280","HT-144","HT-144","HT-144","","","","HT-144","","HT-144","HT-144","HT-144","","HT144",NA,"skin","skin","","","","Skin","","Skin","skin","skin ","","skin","skin","skin",NA
"281","HT-29","HT-29","HT-29","HT29","CO:HT29","","HT-29","HT29","HT-29","HT-29","HT-29","","HT29","HT-29","large_intestine","large_intestine","colon","CO","","Colon","LARGE_INTESTINE","Intestin","large_intestine","digestive_system ","","large_intestine","large_intestine","large_intestine","Colon"
"282","HT-3","HT-3","","HT3","","","","","HT-3","","HT-3","",NA,"HT-3","cervix","","cervix_uteri","","","","","Cervix","","urogenital_system ","","cervix","cervix",NA,"Cervix"
"283","HT55","HT55","HT55","","","","HT-55","HT55","HT55","HT55","HT55","","HT55","HT-55","large_intestine","large_intestine","","","","Colon","LARGE_INTESTINE","Intestine","large_intestine","digestive_system ","","large_intestine","large_intestine","large_intestine","Colon"
"284","HTC-C3","HTC-C3","","","","","","","HTC-C3","","HTC-C3","",NA,NA,"thyroid","","","","","","","Thyroid","","thyroid ","","thyroid","thyroid",NA,NA
"285","HuCCT1","HuCCT1","HuCCT1","","","","","","HuCCT1","HuCCT1","HuCCT1","","HUCCT1","HuCCT1","biliary_tract","biliary_tract","","","","","","Liver","biliary_tract","digestive_system ","","biliary_tract","biliary_tract","biliary_tract","Liver"
"286","HuH-28","HuH-28","HuH28","","","","","","","","","","HUH28",NA,"biliary_tract","biliary_tract","","","","","","","","","","biliary_tract","biliary_tract","biliary_tract",NA
"287","HUH-6-clone5","HUH-6-clone5","HuH-6","","","","","","","HuH-6","HUH-6-clone5","","HUH6",NA,"liver","liver","","","","","","","liver","","","liver","liver","liver",NA
"288","HuH-7","HuH-7","HuH-7","","","","HuH-7","","HuH-7","HuH-7","HuH-7","",NA,"HUH-7","liver","liver","","","","Liver","","Liver","liver","digestive_system ","","liver","liver",NA,"Liver"
"289","HuNS1","HuNS1","HuNS1","HUNS1","","","","","","HuNS1","","","HUNS1",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"290","HuO-3N1","HuO-3N1","","","","","","","HuO-3N1","","HuO-3N1","",NA,NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA,NA
"291","HuO9","HuO9","","","","","","","HuO9","","HuO9","",NA,NA,"bone","","","","","","","Bone","","bone ","","bone","bone",NA,NA
"292","HuP-T3","HuP-T3","HUP-T3","","","","HUP-T3","","HuP-T3","HUP-T3","HuP-T3","","HUPT3","HUP-T3","pancreas","pancreas","","","","Pancreas","","Pancreas","pancreas","pancreas ","","pancreas","pancreas","pancreas","Pancreas"
"293","HuP-T4","HuP-T4","HUP-T4","HUPT4","","","HUP-T4","HUPT4","HuP-T4","HUP-T4","HuP-T4","","HUPT4","HUP-T4","pancreas","pancreas","pancreas","","","Pancreas","PANCREAS","Pancreas","pancreas","pancreas ","","pancreas","pancreas","pancreas","Pancreas"
"294","HUTU-80","HUTU-80","HuTu 80","","","","","","HUTU-80","HuTu_80","","",NA,NA,"small_intestine","small_intestine","","","","","","Intestine","small_intestine","","","small_intestine","small_intestine",NA,NA
"295","IA-LM","IA-LM","IA-LM","","","","","","IA-LM","IA-LM","IA-LM","","IALM",NA,"lung","lung","","","","","","Lung","lung","lung ","","lung","lung","lung",NA
"296","IGR-1","IGR-1","IGR-1","","","","","","IGR-1","IGR-1","IGR-1","","IGR1","IGR-1","skin","skin","","","","","","Skin","skin","skin ","","skin","skin","skin","Skin"
"297","IGROV-1","IGROV-1","IGROV1","IGROV1","OV:IGROV1","","IGROV-1","IGROV1","IGROV-1","IGROV1","IGROV-1","","IGROV1","IGROV-1","ovary","ovary","ovary","OV","","Ovary","OVARY","Ovary","ovary","urogenital_system ","","ovary","ovary","ovary","Ovary"
"298","IM-9","IM-9","","","","","","","IM-9","","","",NA,NA,"haematopoietic_and_lymphoid_tissue","","","","","","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"299","IMR-5","IMR-5","","","","","","","IMR-5","","IMR-5","",NA,NA,"autonomic_ganglia","","","","","","","PNS","","nervous_system ","","autonomic_ganglia","autonomic_ganglia",NA,NA
"300","IPC-298","IPC-298","IPC-298","","","","IPC-298","","IPC-298","IPC-298","IPC-298","","IPC298","IPC-298","skin","skin","","","","Skin","","Skin","skin","skin ","","skin","skin","skin","Skin"
"301","IST-MEL1","IST-MEL1","","","","","","","IST-MEL1","","IST-MEL1","",NA,NA,"skin","","","","","","","Skin","","skin ","","skin","skin",NA,NA
"302","IST-MES1","IST-MES1","IST-MES1","","","","","","IST-MES1","IST-MES1","IST-MES1","","ISTMES1",NA,"pleura","pleura","","","","","","Lung","pleura","lung ","","pleura","pleura","pleura",NA
"303","IST-SL1","IST-SL1","","","","","","","IST-SL1","","IST-SL1","",NA,NA,"lung","","","","","","","Lung","","lung ","","lung","lung",NA,NA
"304","IST-SL2","IST-SL2","","","","","","","IST-SL2","","IST-SL2","",NA,NA,"lung","","","","","","","Lung","","lung ","","lung","lung",NA,NA
"305","ITO-II","ITO-II","","","","","","","","","","",NA,NA,"testis","","","","","","","","","","","testis","testis",NA,NA
"306","J82","J82","J82","J82","","","","","J82","J82","J82","","J82",NA,"urinary_tract","urinary_tract","bladder","","","","","Bladder","urinary_tract","urogenital_system ","","urinary_tract","urinary_tract","urinary_tract",NA
"307","JAR","JAR","","JAR","","","","","JAR","","JAR","",NA,NA,"testis","","placenta","","","","","Miscellaneous","","urogenital_system ","","testis","testis",NA,NA
"308","JEG-3","JEG-3","","JEG3","","","","","JEG-3","","JEG-3","",NA,NA,"placenta","","placenta","","","","","Uterus","","urogenital_system ","","placenta","placenta",NA,NA
"309","JiyoyeP-2003","JiyoyeP-2003","","JIYOYE","","","","","JiyoyeP-2003","","","",NA,NA,"haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","","","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"310","J-RT3-T3-5","J-RT3-T3-5","","JRT3T35","","","","","J-RT3-T3-5","","","",NA,NA,"haematopoietic_and_lymphoid_tissue","","hematopoietic_and_lymphatic_system","","","","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"311","JVM-2","JVM-2","JVM-2","","","","","","JVM-2","JVM-2","","","JVM2",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"312","JVM-3","JVM-3","JVM-3","JVM3","","","","","JVM-3","JVM-3","","","JVM3",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","","","Blood","haematopoietic_and_lymphoid_tissue","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"313","K052","K052","KO52","","","","","","K052","","KO52","","KO52",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","Blood","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"314","K5","K5","","","","","","","K5","","K5","",NA,NA,"thyroid","","","","","","","thyroid","","thyroid ","","thyroid","thyroid",NA,NA
"315","K-562","K-562","K-562","K562","LE:K_562","","K-562","","K-562","K-562","K-562","","K562","K-562","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","LE","","Blood","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","Blood"
"316","KALS-1","KALS-1","KALS-1","","","","","","KALS-1","KALS-1","KALS-1","","KALS1","KALS-1","central_nervous_system","central_nervous_system","","","","","","CNS","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system","central_nervous_system","Brain"
"317","KARPAS-299","KARPAS-299","KARPAS-299","","","","","","KARPAS-299","KARPAS-299","KARPAS-299","","KARPAS299",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"318","KARPAS-422","KARPAS-422","KARPAS-422","","","","KARPAS-422","","KARPAS-422","KARPAS-422","KARPAS-422","","KARPAS422","KARPAS-422","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","Blood","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","Blood"
"319","KARPAS-45","KARPAS-45","","","","","","","KARPAS-45","","KARPAS-45","",NA,NA,"haematopoietic_and_lymphoid_tissue","","","","","","","haematopoietic_and_lymphoid_tissue","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"320","KASUMI-1","KASUMI-1","KASUMI-1","","","","Kasumi-1","","KASUMI-1","KASUMI-1","KASUMI-1","","KASUMI1",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","Blood","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"321","KATOIII","KATOIII","KATO III","KATOIII","","","KATO III","","KATOIII","KATO_III","KATOIII","","KATOIII",NA,"stomach","stomach","stomach","","","Stomach","","Stomach","stomach","","","stomach","stomach","stomach",NA
"322","KE-37","KE-37","KE-37","","","","","","KE-37","KE-37","KE-37","","KE37",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"323","KG-1","KG-1","KG-1","KG1","","","KG-1","","KG-1","KG-1","KG-1","",NA,"KG-1","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system","","","Blood","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"Blood"
"324","KGN","KGN","","","","","","","KGN","","KGN","",NA,NA,"ovary","","","","","","","Ovary","","urogenital_system ","","ovary","ovary",NA,NA
"325","KINGS-1","KINGS-1","","","","","","","KINGS-1","","KINGS-1","",NA,"KINGS-1","central_nervous_system","","","","","","","CNS","","nervous_system ","","central_nervous_system","central_nervous_system",NA,"Brain"
"326","KLE","KLE","KLE","KLE","","","KLE","KLE","KLE","KLE","KLE","","KLE","KLE","endometrium","endometrium","uterus","","","Uterus","ENDOMETRIUM","Uterus","endometrium","urogenital_system ","","endometrium","endometrium","endometrium","Uterus"
"327","KM12","KM12","KM12","KM12","CO:KM12","","KM-12","KM12","KM12","KM12","KM12","","KM12","KM-12","large_intestine","large_intestine","colon","CO","","Colon","LARGE_INTESTINE","large_intestine","large_intestine","digestive_system ","","large_intestine","large_intestine","large_intestine","Colon"
"328","KM-H2","KM-H2","KM-H2","","","","","","KM-H2","KM-H2","KM-H2","","KMH2",NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","","","","","","Blood","haematopoietic_and_lymphoid_tissue","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA
"329","KMOE-2","KMOE-2","","","","","","","KMOE-2","","KMOE-2","",NA,NA,"haematopoietic_and_lymphoid_tissue","","","","","","","Blood","","blood ","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA
"330","KMS-12-BM","KMS-12-BM","KMS-12-BM","","","","KMS-12-BM","","KMS-12-BM","KMS-12-BM","KMS-12-BM","","KMS12BM","KMS-12-BM","","haematopoietic_and_lymphoid_tissue","","","","Blood","","Blood","haematopoietic_and_lymphoid_tissue","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","Blood"
"331","KMS-12-PE","KMS-12-PE","","","","","KMS-12-PE","","","","","",NA,"KMS-12-PE","haematopoietic_and_lymphoid_tissue","","","","","Bone Marrow","","","","","","haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"Bone Marrow"
"332","KNS-42","KNS-42","KNS-42","","","","","","KNS-42","KNS-42","KNS-42","","KNS42",NA,"central_nervous_system","central_nervous_system","","","","","","CNS","central_nervous_system","nervous_system ","","central_nervous_system","central_nervous_system","central_nervous_system",NA
